dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,10.076877622731459,4.209484415891073,4.775787812470881,2.3574667335969806,14.607952548278165,7.336966034201925,5.240235464983657,2.6175551450674464,4.791163237613022
03-25,45.25242907340593,51.80400469834769,35.03204655490908,17.55222337785001,49.828982521470806,40.012193608422265,23.730956545840197,14.026273627152067,26.816787620794578
04-01,156.2550769334561,194.60164556444732,139.96164606364349,111.79699221855404,218.34732888788406,158.46196944307687,106.50550450806199,52.18132408021903,52.63934906398352
04-08,407.5466778437618,526.8190166126676,423.4153657611855,375.18214048970003,644.3815442065079,576.2386270343006,356.07191653186453,185.4062359982702,130.057725897829
04-15,559.1105039255431,745.8864041425944,711.3463149402415,685.0586563023569,1138.0044405880196,1090.5687418893745,667.2956463427212,436.2980630317448,330.947610467812
04-22,415.0258532679127,495.37695527462427,667.362927730529,628.081041821593,1099.3336280206902,1086.2297685909318,876.479491464808,643.4838507167274,507.8822628953346
04-29,195.34797783364212,222.50108463036773,372.97454049603346,395.46655469700687,694.8785557701061,674.0066297839703,700.8502847197242,514.4940480947695,480.79059846565656
05-06,76.05578601884537,71.70792178263352,149.54073238267017,179.59392460656633,292.20446130759103,278.67721823796796,349.9129793625398,332.81234885631164,301.7758233883998
05-13,25.164653348068693,20.577849252093827,47.69060240293758,86.12559212647464,115.40617845402393,116.43180581933002,166.69319003482943,184.486231133993,161.3600461149443
05-20,5.7706626376221175,5.235110290134894,26.32288531964307,30.613076331468818,30.11275315084375,44.230630880111356,73.49136724329837,102.67457206778832,66.63357295529367
05-27,4.331840859353161,1.5868040959748633,11.561825477618536,6.898144057124666,12.617554648046692,19.96477063432954,21.056376227507346,43.31198473193352,15.22998412124462
06-03,2.0205006993950554,,1.1479822183017558,4.490073526756595,1.8725183816891489,2.331840859353161,8.724535368154186,23.49519671352234,3.4541971040069464
06-10,,,,1.4541973028152482,2.0,1.2857142857142856,2.1428570434529917,7.28571368928938,0.999999900595849
06-17,,,,,1.857142857142857,,0.14285714285714285,0.2857142857142857,
06-24,,,,,0.7142857142857142,,,,
