av_infections,sd_infections,time
5.0,0.0,0
5.0,0.0,1
5.3,0.48304589153964794,2
6.0,1.0540925533894598,3
6.9,0.9944289260117533,4
6.8,1.6193277068654823,5
8.0,3.651483716701107,6
9.5,7.199537022151725,7
11.2,9.472767986883945,8
13.2,12.05358406818855,9
14.9,14.003570973148241,10
18.8,18.359375443262405,11
24.6,25.86374553952566,12
31.4,35.05614544317919,13
39.9,47.209815363615505,14
49.4,59.82975848187923,15
61.5,75.56196868207651,16
75.7,88.0341474151429,17
96.7,114.79551868915055,18
120.0,142.94676553800642,19
158.0,189.70971977676257,20
199.2,248.02141484602132,21
249.0,320.36056075754533,22
312.7,416.16451074064446,23
393.3,526.1345518654583,24
492.1,666.7095736192451,25
611.0,839.3387609038174,26
761.3,1049.2901357055107,27
940.3,1305.1244342547911,28
1161.6,1618.5814227965864,29
1436.1,2007.944136562458,30
1783.8,2507.74869377119,31
2208.4,3112.6260152981936,32
2724.9,3861.4601858191763,33
3396.5,4801.105364624091,34
4198.2,5889.049155471157,35
5198.4,7193.686586939349,36
6441.7,8848.618072269188,37
7917.8,10756.876775140428,38
9794.5,13195.981680041845,39
12069.8,16095.644129874254,40
14802.3,19549.18494493085,41
17980.2,23398.7003190823,42
21714.0,27737.827937072987,43
26006.5,32444.72220476613,44
30826.3,37380.324102542385,45
36145.1,42439.991882526185,46
41908.0,47356.9738921547,47
48016.2,51989.33767781407,48
54516.1,56235.604924381405,49
61306.4,59985.433609983826,50
68357.6,63125.54446709088,51
75563.0,65493.18982238619,52
82725.1,67076.56604450039,53
89888.0,67889.23589854939,54
96942.7,68060.79806899776,55
103660.1,67588.80960048868,56
109946.7,66436.11250592557,57
115845.1,64752.908937574204,58
121165.9,62699.29964069243,59
125876.5,60421.74514425893,60
129914.2,58068.04308701607,61
133194.2,56053.84498815006,62
135726.4,54689.767889635645,63
137467.5,54187.37082311913,64
138130.7,54566.80510275658,65
137861.3,55727.59064921671,66
136456.3,57362.60092323027,67
134062.3,59108.754352652555,68
130761.6,60725.28192551545,69
126479.7,61707.55399831981,70
121559.7,62133.46469594482,71
116017.7,61807.97279756427,72
110143.2,60919.16655846317,73
103888.9,59412.65542598366,74
97488.3,57302.145753986486,75
90962.5,54896.745204570696,76
84610.1,52202.642616059195,77
78407.5,49281.89390581945,78
72388.6,46273.776190552395,79
66647.7,43289.15329130125,80
61170.9,40328.92036312844,81
56048.1,37423.97774288564,82
51234.7,34616.25950025347,83
46733.6,31903.846592186623,84
42577.0,29381.09573253599,85
38717.0,26954.820043093507,86
35170.4,24689.37356749975,87
31925.5,22619.80284445959,88
28923.3,20641.10861606033,89
26162.8,18798.154713221782,90
23638.8,17101.232605348134,91
21334.0,15536.614424570682,92
19250.8,14101.185401707664,93
17346.5,12746.562963751792,94
15616.3,11515.738863254353,95
14047.8,10373.720738267228,96
12635.7,9338.579621358082,97
11343.9,8382.972827901407,98
10192.7,7515.856394612955,99
9154.3,6743.081591115775,100
8193.7,6022.793040700561,101
7355.7,5371.406024289895,102
6603.1,4793.047359341329,103
5936.5,4285.809355691563,104
5349.4,3828.7441283010803,105
4820.6,3436.564149780352,106
4355.7,3094.295900883143,107
3925.3,2756.9568186680035,108
3548.7,2482.16012779192,109
3207.8,2223.712151635938,110
2907.5,2013.0942600881858,111
2652.8,1829.319533475646,112
2410.4,1655.7724749762235,113
2190.4,1497.7811885882693,114
2001.0,1350.7699861766087,115
1826.3,1227.1681991026694,116
1660.2,1112.2369651592535,117
1508.7,1000.3471675151359,118
1367.8,906.6193369999463,119
1251.9,827.8961891445086,120
