rural,sd_rural,urban,sd_urban,rural_prop,sd_rural_prop,urban_prop,sd_urban_prop,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.31622776601683794,0.0,0.0,0.0001945525291828794,0.0006152291167642761,0.0,0.0,6
0.1,0.31622776601683794,0.0,0.0,0.0001945525291828794,0.0006152291167642761,0.0,0.0,7
0.4,1.2649110640673518,0.0,0.0,0.0007782101167315176,0.0024609164670571044,0.0,0.0,8
0.8,2.5298221281347035,0.0,0.0,0.0015564202334630351,0.004921832934114209,0.0,0.0,9
1.1,3.478505426185217,0.0,0.0,0.0021400778210116734,0.006767520284407038,0.0,0.0,10
1.3,4.110960958218893,0.0,0.0,0.002529182879377432,0.00799797851793559,0.0,0.0,11
1.7,5.375872022286245,0.0,0.0,0.0033073929961089494,0.010458894984992695,0.0,0.0,12
2.0,6.324555320336759,0.0,0.0,0.0038910505836575876,0.012304582335285523,0.0,0.0,13
2.1,6.640783086353595,0.0,0.0,0.004085603112840467,0.0129198114520498,0.0,0.0,14
1.9,6.008327554319921,0.0,0.0,0.003696498054474708,0.011689353218521246,0.0,0.0,15
1.7,5.375872022286245,0.0,0.0,0.0033073929961089494,0.010458894984992695,0.0,0.0,16
2.1,6.640783086353595,0.0,0.0,0.004085603112840467,0.0129198114520498,0.0,0.0,17
1.9,6.008327554319921,0.0,0.0,0.003696498054474708,0.011689353218521246,0.0,0.0,18
1.9,6.008327554319921,0.0,0.0,0.003696498054474708,0.011689353218521246,0.0,0.0,19
1.7,5.375872022286245,0.0,0.0,0.0033073929961089494,0.010458894984992695,0.0,0.0,20
1.8,5.692099788303083,0.0,0.0,0.003501945525291829,0.01107412410175697,0.0,0.0,21
1.9,6.008327554319921,0.0,0.0,0.003696498054474708,0.011689353218521246,0.0,0.0,22
2.1,6.640783086353595,0.0,0.0,0.004085603112840467,0.0129198114520498,0.0,0.0,23
2.1,6.640783086353595,0.0,0.0,0.004085603112840467,0.0129198114520498,0.0,0.0,24
2.2,6.957010852370434,0.0,0.0,0.004280155642023347,0.013535040568814076,0.0,0.0,25
1.9,6.008327554319921,0.0,0.0,0.003696498054474708,0.011689353218521246,0.0,0.0,26
1.7,5.034326612809745,0.1,0.31622776601683794,0.0033073929961089494,0.009794409752548144,2.3325791327470784e-06,7.3762628820610175e-06,27
1.6,4.718756898449704,0.1,0.31622776601683794,0.0031128404669260703,0.009180460891925493,2.3325791327470784e-06,7.3762628820610175e-06,28
1.7,4.715223571935199,0.1,0.31622776601683794,0.0033073929961089494,0.009173586715827235,2.3325791327470784e-06,7.3762628820610175e-06,29
1.5,3.7490739597339973,0.1,0.31622776601683794,0.0029182879377431907,0.007293918209599216,2.3325791327470784e-06,7.3762628820610175e-06,30
1.6,4.060651288757616,0.1,0.31622776601683794,0.0031128404669260703,0.007900099783575129,2.3325791327470784e-06,7.3762628820610175e-06,31
1.7,4.083843505544475,0.0,0.0,0.0033073929961089494,0.007945220827907537,0.0,0.0,32
2.3,4.164666186436128,0.2,0.6324555320336759,0.004474708171206225,0.00810246339773566,4.665158265494157e-06,1.4752525764122035e-05,33
2.8,4.7093288033198295,0.3,0.9486832980505139,0.005447470817120622,0.009162118294396556,6.997737398241235e-06,2.2128788646183056e-05,34
3.0,5.2493385826745405,0.6,1.2649110640673515,0.005836575875486381,0.010212720977966034,1.399547479648247e-05,2.9505051528244077e-05,35
3.7,7.0561242115547325,0.9,1.911950719959998,0.0071984435797665365,0.013727868115865237,2.0993212194723707e-05,4.459776352219445e-05,36
4.3,8.35397443669113,0.9,1.911950719959998,0.008365758754863813,0.016252868553873794,2.0993212194723707e-05,4.459776352219445e-05,37
4.6,9.008637830191397,1.1,2.5144029554194813,0.00894941634241245,0.01752653274356303,2.5658370460217865e-05,5.865043865129065e-05,38
5.7,11.785584414868868,1.6,3.2386554137309655,0.011089494163424123,0.02292915255811064,3.7321266123953255e-05,7.554420036227207e-05,39
6.5,14.144099672851416,2.2,4.077035960378842,0.01264591439688716,0.027517703643679798,5.131674092043573e-05,9.510009004639129e-05,40
8.0,17.93197020841702,3.5,6.7700320038632995,0.015564202334630347,0.03488710157279575,8.164026964614776e-05,0.00015791635380241426,41
10.4,24.6720714799368,4.6,8.604908160140026,0.020233463035019453,0.048000139066024926,0.00010729864010636559,0.00020071629213547684,42
11.8,27.12030809395629,5.9,10.948871073210139,0.022957198443579768,0.05276324531898111,0.0001376221688320776,0.0002553910819250808,43
13.1,29.557664920550735,9.3,16.673665197283743,0.0254863813229572,0.05750518467033218,0.00021692985934547828,0.0003889264350559526,44
15.6,34.11158161094264,14.0,25.086516962969036,0.030350194552529176,0.06636494476837089,0.000326561078584591,0.0005851628598112721,45
16.3,35.0968501277378,20.4,37.34285592839531,0.03171206225680934,0.06828180958703853,0.000475846143080404,0.0008710516649575544,46
17.6,37.14595835649179,30.1,53.459122493525626,0.034241245136186774,0.07226840147177392,0.0007021063189568707,0.0012469763358336785,47
18.6,38.73327596094431,45.8,80.05109479437353,0.03618677042801556,0.07535656801740138,0.001068321242798162,0.0018672551327091399,48
18.8,37.77065292290064,69.5,122.91302254485124,0.03657587548638132,0.07348376055039034,0.0016211424972592194,0.002867043515309912,49
19.7,38.046900881236915,96.2,169.15988492153411,0.03832684824902723,0.07402120794014964,0.0022439411257026897,0.003945788176658678,50
21.1,36.89158290028891,130.0,228.34671493634897,0.04105058365758755,0.07177350758811071,0.003032352872571202,0.0053263678229187325,51
23.5,39.65195805729873,171.9,296.1397755565211,0.045719844357976644,0.07714388727100921,0.004009703529192229,0.006907694608395444,52
25.7,39.628973687890976,225.0,378.6029876034026,0.05,0.0770991705990097,0.005248303048680927,0.008831214284793977,53
26.1,38.68232441596837,279.7,462.6455446667567,0.05077821011673152,0.07525744049799292,0.006524223834293579,0.010791573433480833,54
26.7,38.08776414779131,342.9,557.5929319654059,0.05194552529182879,0.07410070845873797,0.007998413846189732,0.013006296376697672,55
28.0,36.75746333890726,417.1,669.0858523222396,0.05447470817120621,0.07151257458931373,0.009729187562688065,0.015606956971431496,56
28.4,35.6968719451252,497.8,790.2827623353837,0.055252918287937734,0.06944916720841479,0.011611578922814957,0.018433970803932345,57
30.7,36.469317392996416,578.8,916.6907633196462,0.059727626459143965,0.07095197936380625,0.013500968020340093,0.021382537457013975,58
32.3,35.26108966615247,670.1,1051.3729066743583,0.06284046692607004,0.06860134176294255,0.015630612768538173,0.024524105028442496,59
36.0,36.58779395736598,756.8,1178.159751476853,0.07003891050583658,0.07118247851627624,0.01765295887662989,0.027481508513373908,60
39.2,37.01591249419333,851.5,1315.2922151032108,0.07626459143968872,0.07201539395757457,0.01986191131534137,0.03068023174414431,61
41.5,39.16985802600997,953.4,1456.8658292527987,0.08073929961089495,0.07620594946694546,0.022238809451610643,0.03398254832527346,62
44.5,42.18543719236665,1062.0,1593.4679859420528,0.08657587548638132,0.08207283500460437,0.024771990389773974,0.037168901727089476,63
48.7,44.499812733688366,1182.4,1741.1532704248386,0.09474708171206225,0.08657551115503573,0.027580415665601453,0.04061377785507309,64
52.0,47.20169488482379,1306.5,1884.15393626836,0.10116731517509728,0.09183209121561048,0.030475146369340574,0.043949381546228454,65
54.3,47.67727154758566,1434.2,2030.8204034604123,0.1056420233463035,0.09275733764121726,0.0334538499218586,0.0473704929546876,66
59.6,51.76485294096758,1578.2,2191.974036748104,0.1159533073929961,0.10070983062445053,0.036812763873014395,0.05112952897642005,67
65.3,54.50596297654046,1723.5,2348.5008575211928,0.12704280155642023,0.1060427295263433,0.040202001352895894,0.05478064093492554,68
69.2,55.92614177049346,1885.0,2523.802642398525,0.13463035019455255,0.10880572328889779,0.043969116652282425,0.058869693788307365,69
71.8,57.15242776995567,2038.1,2670.245284197273,0.1396887159533074,0.11119149371586706,0.047540295304518206,0.06228558429234852,70
74.4,59.3992143606855,2214.9,2837.0708074820172,0.14474708171206224,0.11556267385347374,0.05166429521121504,0.06617692163658459,71
74.6,59.53187754845671,2382.3,2972.1282703738675,0.14513618677042803,0.11582077344057727,0.05556903267943364,0.06932724383321749,72
72.8,58.66249985202547,2566.7,3111.7276391098235,0.14163424124513618,0.11412937714401843,0.05987030860021926,0.07258350957779908,73
72.5,58.3671330649555,2747.7,3216.590398059549,0.14105058365758755,0.11355473358940758,0.06409227683049147,0.07502951641108323,74
68.8,56.26682464432799,2949.0,3336.979439220113,0.133852140077821,0.10946853043643577,0.06878775862471134,0.07783768606330883,75
67.2,53.64658009188988,3130.3,3403.0045564340803,0.13073929961089495,0.1043707783888908,0.07301672459238182,0.07937777416981362,76
65.9,51.89829798108348,3298.5,3457.4767694246493,0.12821011673151753,0.10096945132506514,0.07694012269366238,0.0806483816431772,77
65.2,49.557598363475556,3471.9,3489.2425300247237,0.12684824902723738,0.09641556101843496,0.08098481490984583,0.08138934314629291,78
64.7,48.355282372594345,3639.7,3500.962155052681,0.12587548638132298,0.09407642484940534,0.0848988826945954,0.08166271267413125,79
64.0,46.75467891024384,3826.8,3525.191083867338,0.1245136186770428,0.09096241033121369,0.08926313825196519,0.08222787161175009,80
63.7,46.516544249211904,4008.9,3532.3474237710852,0.12392996108949414,0.09049911332531499,0.09351076485269763,0.08239479890301335,81
62.3,44.21173800901495,4185.4,3508.900815545138,0.12120622568093384,0.086015054492247,0.09762776702199623,0.08184788821219795,82
62.5,45.24317014140858,4369.2,3486.7548682279216,0.12159533073929962,0.08802173179262368,0.10191504746798537,0.0813313164663274,83
64.5,45.35599923567627,4546.0,3438.428129247433,0.1254863813229572,0.08824124364917563,0.10603904737468217,0.08020405703733137,84
67.2,46.444231791113374,4726.5,3391.907403413798,0.13073929961089495,0.09035842760917001,0.11024935270929066,0.07911892429413352,85
70.7,49.42345372166719,4902.1,3339.6925157864457,0.13754863813229573,0.09615457922503343,0.11434536166639453,0.07790097072115057,86
70.8,51.36535797597443,5077.7,3292.496015352351,0.1377431906614786,0.09993260306609811,0.11844137062349838,0.076800075000638,87
70.3,48.68732438279552,5228.6,3247.6503369530274,0.1367704280155642,0.09472242097820141,0.12196123253481372,0.0757540140643565,88
71.1,48.11664068813523,5370.4,3226.710164996058,0.13832684824902725,0.09361214141660551,0.1252688297450491,0.07526556798292688,89
71.4,48.29584753256629,5468.7,3176.1278679129614,0.13891050583657588,0.09396079286491495,0.12756175503253947,0.07408569587630243,90
72.5,48.674086192415224,5583.0,3131.2445874870054,0.14105058365758755,0.09469666574399849,0.13022789298126938,0.07303875784299423,91
75.0,48.973915959870354,5690.0,3058.8765185204115,0.14591439688715951,0.0952799921398256,0.13272375265330874,0.07135071536750745,92
78.1,51.25849523087206,5785.5,2974.978590025668,0.1519455252918288,0.0997246988927472,0.1349513657250822,0.06939372979463199,93
77.5,51.58003489723519,5882.0,2905.2361158585522,0.15077821011673154,0.10035026244598286,0.13720230458818317,0.06776693139554835,94
77.5,52.87984283049428,5992.2,2833.882448750007,0.1507782101167315,0.10287907165465815,0.13977280679247042,0.06610255064612457,95
78.4,56.368233764929855,6121.2,2790.770096825128,0.15252918287937745,0.10966582444538882,0.14278183387371418,0.06509692092148837,96
79.8,58.58289473520027,6278.4,2791.1619324814055,0.15525291828793777,0.11397450337587602,0.14644864827039256,0.06510606079824136,97
81.3,65.24322016713903,6393.9,2811.3158030439135,0.15817120622568095,0.12693233495552342,0.14914277716871543,0.06557616577742328,98
80.6,68.83668272722683,6519.7,2879.8232218122153,0.15680933852140075,0.13392350725141408,0.1520771617177113,0.06717415553199636,99
78.9,69.24425367253708,6631.6,2999.6333553730638,0.15350194552529184,0.13471644683372977,0.15468731776725525,0.0699688217063531,100
76.2,69.02785267154444,6725.4,3144.2251545050362,0.14824902723735406,0.13429543321312146,0.15687527699377202,0.07334153984056907,101
71.6,66.97628104203922,6802.7,3313.313951988921,0.13929961089494164,0.13030404871992066,0.15867836066338553,0.07728566984649113,102
67.7,66.49486195689609,6877.7,3501.1292162513637,0.13171206225680937,0.12936743571380563,0.16042779501294582,0.08166660950879065,103
63.5,62.93956536939931,6893.2,3646.4651010716298,0.12354085603112841,0.12245051628287804,0.1607893447785216,0.0850566840305015,104
58.7,58.76516352776059,6830.8,3756.077913048249,0.11420233463035019,0.11432911192171323,0.15933381539968744,0.0876134896094854,105
55.3,56.53327437103843,6776.3,3873.1710536859987,0.10758754863813232,0.10998691511875183,0.1580625597723403,0.09034477977387975,106
51.3,53.18113700677462,6671.9,3944.71788739209,0.09980544747081711,0.10346524709489227,0.15562734715775234,0.09201366628704928,107
46.8,49.557598363475556,6517.1,3977.748370623762,0.09105058365758754,0.09641556101843494,0.15201651466025984,0.09278412844635682,108
42.3,44.244397008736215,6325.2,3982.473011696236,0.08229571984435798,0.08607859340221055,0.14754029530451823,0.09289433443811052,109
38.4,39.6686274025205,6130.0,3976.8863867771397,0.07470817120622568,0.07717631790373637,0.1429871008373959,0.09276402199102284,110
34.0,35.705586242055865,5910.1,3937.306395945781,0.06614785992217899,0.06946612109349388,0.13785775932448507,0.09184078738414735,111
32.2,33.986271738257294,5663.1,3872.996182974279,0.06264591439688716,0.06612115124174571,0.1320962888665998,0.09034070077614889,112
29.3,31.710671179693854,5400.0,3782.7218889166156,0.057003891050583656,0.06169391280096082,0.12595927316834224,0.0882349814307251,113
26.3,27.51989179565291,5130.0,3647.6760942946794,0.05116731517509728,0.05354064551683446,0.11966130950992512,0.08508493140572135,114
23.8,24.956851653292414,4849.3,3508.370816901898,0.04630350194552529,0.048554186095899635,0.11311375988430408,0.08183552557444188,115
21.6,22.38650387076007,4579.7,3347.8333640331225,0.04202334630350195,0.04355350947618691,0.10682512654241794,0.07809086244858114,116
19.5,20.277245046274572,4299.6,3176.777304823938,0.037937743190661476,0.039449893086137305,0.10029157239159339,0.07410084450616822,117
16.6,17.404980130219435,4043.8,3030.743575794927,0.03229571984435797,0.03386182904711952,0.09432483497002635,0.07069449221606511,118
15.4,15.27670703318545,3804.6,2883.075564585693,0.02996108949416342,0.02972121990892111,0.08874530568449536,0.06725001900085588,119
13.6,13.590846592876806,3567.8,2725.9990543733584,0.026459143968871595,0.026441335783807016,0.08322175829815028,0.06358608510119565,120
